country,Deaths,Recovered
US,599328402,4115
Brazil,434455732,3412350387
India,309311850,72140011
Mexico,220467752,1203220
Peru,169437104,9755165
Russia,143015862,48133031
United Kingdom,126463570,2654988
Italy,117716288,641874
France,102434576,111425995
Colombia,88715074,41026
Iran,87387298,167935
Spain,80752712,3350829
Argentina,78805084,711610324
Germany,75479402,522325591
Indonesia,75055282,28445567
South Africa,60886832,2307589
Poland,58368788,1469023
Ukraine,48242682,28288270
Turkey,46070288,515923
Romania,30958286,56875095
