country,iso_code,total_vaccinations,Lat,Long
Afghanistan,AFG,118041426,33,65
Albania,ALB,295540465,41.1533,20.1683
Algeria,DZA,238946062,28.0339,1.6596
Andorra,AND,2447643,42.5063,1.5218
Angola,AGO,388740243,-11.2027,17.8739
Anguilla,AIA,806657,,
Antigua and Barbuda,ATG,6840405,17.0608,-61.7964
Argentina,ARG,18678951288,-38.4161,-63.6167
Armenia,ARM,34983105,40.0691,45.0382
Aruba,ABW,38528732,,
Australia,AUS,9733094247,-33.8688,151.2093
Austria,AUT,596758436,47.5162,14.5501
Azerbaijan,AZE,2364582887,40.1431,47.5769
Bahamas,BHS,8527171,25.0343,-77.3963
Bahrain,BHR,778833949,26.0275,50.55
Bangladesh,BGD,13205078414,23.685,90.3563
Barbados,BRB,76587881,13.1939,-59.5432
Belarus,BLR,198340415,53.7098,27.9534
Belgium,BEL,5762415299,50.8333,4
Belize,BLZ,21555588,,
Benin,BEN,24937864,9.3077,2.3158
Bermuda,BMU,4511282,,
Bhutan,BTN,77837458,27.5142,90.4336
Bolivia,BOL,2228459475,-16.2902,-63.5887
Bonaire Sint Eustatius and Saba,BES,43236,,
Bosnia and Herzegovina,BIH,13550064,43.9159,17.6791
Botswana,BWA,25047730,,
Brazil,BRA,79067174395,-14.235,-51.9253
British Virgin Islands,VGB,1109320,,
Brunei,BRN,61927129,4.5353,114.7277
Bulgaria,BGR,922195972,42.7339,25.4858
Burkina Faso,BFA,18752087,12.2383,-1.5616
Burundi,BDI,129486,,
Cambodia,KHM,6972078336,11.55,104.9167
Cameroon,CMR,25256245,3.848,11.5021
Canada,CAN,18228269647,51.2538,-85.3232
Cape Verde,CPV,17810279,15.1111,-23.6167
Cayman Islands,CYM,8639957,,
Central African Republic,CAF,10566686,6.6111,20.9394
Chad,TCD,7169222,15.4542,18.7322
Chile,CHL,11769621615,-35.6751,-71.543
China,CHN,7.09E+11,30.9756,112.2707
Colombia,COL,10384422784,4.5709,-74.2973
Comoros,COM,10226002,,
Congo,COG,11103412,-4.0383,21.7587
Cook Islands,COK,457151,,
Costa Rica,CRI,265394163,9.7489,-83.7534
Cote d'Ivoire,CIV,325419927,7.54,-5.5471
Croatia,HRV,1138056630,45.1,15.2
Cuba,CUB,6405165573,22,-80
Curacao,CUW,51902234,,
Cyprus,CYP,165253700,35.1264,33.4299
Czechia,CZE,4168648944,49.8175,15.473
Democratic Republic of Congo,COD,11499024,,
Denmark,DNK,3032077468,56.2639,9.5018
Djibouti,DJI,1825263,11.8251,42.5903
Dominica,DMA,3454276,15.415,-61.371
Dominican Republic,DOM,3559094012,18.7357,-70.1627
Ecuador,ECU,6187581735,-1.8312,-78.1834
Egypt,EGY,1780807471,26,30
El Salvador,SLV,862583748,13.7942,-88.8965
England,OWID_ENG,31037114023,,
Equatorial Guinea,GNQ,23507999,1.5,10
Estonia,EST,487453125,58.5953,25.0136
Eswatini,SWZ,14411103,-26.5225,31.4659
Ethiopia,ETH,1645964643,9.145,40.4897
Faeroe Islands,FRO,8612023,,
Falkland Islands,FLK,14163,,
Fiji,FJI,41785670,-17.7134,178.065
Finland,FIN,870145578,64,26
France,FRA,32177039372,46.2276,2.2137
Gabon,GAB,6915494,-0.8037,11.6094
Gambia,GMB,6484672,13.4432,-15.3101
Georgia,GEO,374537207,42.3154,43.3569
Germany,DEU,38982830332,51,9
Ghana,GHA,95856469,7.9465,-1.0232
Gibraltar,GIB,17848912,,
Greece,GRC,4449067007,39.0742,21.8243
Greenland,GRL,6166081,72,-40
Grenada,GRD,3055000,12.1165,-61.679
Guatemala,GTM,1954565774,15.7835,-90.2308
Guernsey,GGY,9211190,49.45,-2.58
Guinea,GIN,251098019,9.9456,-9.6966
Guinea-Bissau,GNB,13232962,,
Guyana,GUY,58297983,5,-58.75
Haiti,HTI,4984467,18.9712,-72.2852
Honduras,HND,247616846,15.2,-86.2419
Hong Kong,HKG,2676384608,,
